ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
77481331,Photo,Sharp-shinned Hawk,Accipiter striatus,,Myriam Berube,2017-12-06,2017,12,6,1100,Canada,CA-AB-EL,Alberta,Edmonton,Edmonton--Mill Creek Ravine North,53.5260817,-113.4775472,Adult,,Unspecified,"","",,,,,,,S40945186,"",,,All tail feathers same length,,Accipiter striatus,shshaw,Species,7816,,3.67,3,,1080,1440
76837371,Photo,Sharp-shinned Hawk,Accipiter striatus,,Dave Bowman,2012-03-02,2012,3,2,845,United States,US-FL-101,Florida,Pasco,Lutz Home,28.1749093,-82.4546671,"",Flying,Unspecified,"","",,,,,,,S10063599,"",,,,,Accipiter striatus,shshaw,Species,7816,,3.67,3,"",1208,1208
75824011,Photo,Sharp-shinned Hawk,Accipiter striatus,,Brenton Reyner,2017-10-29,2017,10,29,1347,United States,US-MD-031,Maryland,Montgomery,Reyner Yard,39.2095038,-77.1769595,"",,Unspecified,"","",,,,,,,S40640906,"",,,,,Accipiter striatus,shshaw,Species,7816,,3.67,3,,1698,2573
75249241,Photo,Sharp-shinned Hawk,Accipiter striatus,,Richard Smethurst,2017-11-15,2017,11,15,721,United States,US-WA-067,Washington,Thurston,Billy Frank Jr. Nisqually NWR,47.0812514,-122.7180576,Juvenile,,Unspecified,"","",,,,,,,S40540501,"",,,,,Accipiter striatus,shshaw,Species,7816,,3.67,3,,1624,1476
75214461,Photo,Sharp-shinned Hawk,Accipiter striatus,,Tim Carney,2017-11-14,2017,11,14,800,United States,US-MD-003,Maryland,Anne Arundel,Swan Creek Wetland--Cox Creek DMCF (access by guided tour only),39.1934881,-76.5353537,Adult,,Unspecified,"","",,,,,,,S40505367,"",,,,,Accipiter striatus,shshaw,Species,7816,,3.67,3,,1537,2049
74972851,Photo,Sharp-shinned Hawk,Accipiter striatus,,Kathryn Keith,2017-11-12,2017,11,12,735,United States,US-WA-053,Washington,Pierce,My Yard Puyallup,47.1536096,-122.2993755,"",,Unspecified,"","",,,,,,,S40466406,"",,,,"Six Steller’s jays hopped branch to branch around it, one even pulling on a twig until the branch it was on shook. It flew at one or another jay from time to time, then moved  to another branch. Jays were surprisingly quiet, few calls. After several minutes of this the hawk flew off.",Accipiter striatus,shshaw,Species,7816,,3.67,3,,2441,2347
74793231,Photo,Sharp-shinned Hawk,Accipiter striatus,,David Brown,2017-11-10,2017,11,10,636,United States,US-DE-003,Delaware,New Castle,Ashland Nature Center and Hawk Watch,39.7970734,-75.6596680,"",,Unspecified,"","",,,,,,,S40427811,"",,,,,Accipiter striatus,shshaw,Species,7816,,3.67,3,,824,1236
74346591,Photo,Sharp-shinned Hawk,Accipiter striatus,,Daniel Hinnebusch,2017-10-29,2017,10,29,1139,United States,US-PA-071,Pennsylvania,Lancaster,_Preston Road,40.0940429,-76.2706864,"",,Unspecified,"","",,,,,,,S40338991,"",,,,,Accipiter striatus,shshaw,Species,7816,,3.67,3,,1956,2608
73686171,Photo,Sharp-shinned Hawk,Accipiter striatus,,Allen Chartier,2017-10-25,2017,10,25,800,United States,US-MI-163,Michigan,Wayne,"US-MI, Inkster Banding Station (restricted access)",42.3000890,-83.3079080,Adult Female,,Unspecified,"","",,,,,,,S40229432,"",,,,Adult based on rufous barring on underparts and blue-gray upperparts. May have been a second-year based on orange eye. Probable female based on size. Feeding on House Sparrow in Catalpa tree.,Accipiter striatus,shshaw,Species,7816,,3.67,3,,530,800
73152291,Photo,Sharp-shinned Hawk,Accipiter striatus,,Kent Leland,2017-10-25,2017,10,25,1033,United States,US-CA-045,California,Mendocino,Leland House property-1150 King Ranch Rd - 39.2237x-123  .1543,39.2236860,-123.1542520,Immature,,Unspecified,"","",,,,,,,S40125322,"",,,,,Accipiter striatus,shshaw,Species,7816,,3.67,3,,1043,1142
73054401,Photo,Sharp-shinned Hawk,Accipiter striatus,,Tom Edell,2017-10-25,2017,10,25,1535,United States,US-CA-079,California,San Luis Obispo,Home,35.4431951,-120.8953657,Immature,,Unspecified,"","",,,,,,,S40121152,"",,,"Sharp-shinned Hawk, immature, Cayucos, San Luis Obispo County, California, 25 Oct 2017, Tom M. Edell",immature feeding on White-crowned Sparrow in back yard.,Accipiter striatus,shshaw,Species,7816,,3.67,3,,3000,4000
72894231,Photo,Sharp-shinned Hawk,Accipiter striatus,,Louis Hoeniger,2017-10-23,2017,10,23,1611,United States,US-AZ-013,Arizona,Maricopa,Glendale Recharge Ponds,33.5242237,-112.2865820,"",,Unspecified,"","",,,,,,,S40092382,"",,,,not much larger then American Kestrel,Accipiter striatus,shshaw,Species,7816,,3.67,3,,1160,1740
