ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
388566251,Photo,Red-tailed Hawk,Buteo jamaicensis,,Richard Breisch,2021-11-16,2021,11,16,755,United States,US-CA-073,California,San Diego,Tecolote Canyon Natural Park--Genesee Ave to Balboa Ave,32.8274856,-117.1956468,Adult – 1,,Unspecified,"","",,,,,,,S97671057,"",,,,Both seen on the same time on power poles on canyon rim.,Buteo jamaicensis,rethaw,Species,8094,,1.00,1,,628,290
388566161,Photo,"Red-tailed Hawk (Krider's)",Buteo jamaicensis kriderii,,Kimberly Emerson,2021-11-15,2021,11,15,1426,United States,US-MN-101,Minnesota,Murray,Slayton,43.9865670,-95.7438120,"",,Unspecified,"","",,,,,,,S97672538,"",,,,,Buteo jamaicensis,krthaw1,Group,8102,,.00,0,,3456,4608
388566071,Photo,"Red-tailed Hawk (Krider's)",Buteo jamaicensis kriderii,,Kimberly Emerson,2021-11-15,2021,11,15,1426,United States,US-MN-101,Minnesota,Murray,Slayton,43.9865670,-95.7438120,"",,Unspecified,"","",,,,,,,S97672538,"",,,,,Buteo jamaicensis,krthaw1,Group,8102,,.00,0,,2073,2827
388566021,Photo,"Red-tailed Hawk (Krider's)",Buteo jamaicensis kriderii,,Kimberly Emerson,2021-11-15,2021,11,15,1426,United States,US-MN-101,Minnesota,Murray,Slayton,43.9865670,-95.7438120,"",,Unspecified,"","",,,,,,,S97672538,"",,,,,Buteo jamaicensis,krthaw1,Group,8102,,.00,0,,1863,2799
388566001,Photo,"Red-tailed Hawk (Krider's)",Buteo jamaicensis kriderii,,Kimberly Emerson,2021-11-15,2021,11,15,1426,United States,US-MN-101,Minnesota,Murray,Slayton,43.9865670,-95.7438120,"",,Unspecified,"","",,,,,,,S97672538,"",,,,,Buteo jamaicensis,krthaw1,Group,8102,,.00,0,,1784,3085
388565751,Photo,Red-tailed Hawk,Buteo jamaicensis,,MaryAnn Cervin-Lawry,2021-11-16,2021,11,16,1234,Canada,CA-ON-HT,Ontario,Halton,Oakville--Sedgewick Forest Park,43.4137769,-79.6943092,"",,Unspecified,"","",,,,,,,S97668966,"",,,,,Buteo jamaicensis,rethaw,Species,8094,,.00,0,,941,1412
388564091,Photo,Red-tailed Hawk,Buteo jamaicensis,,Bill Nolting,2021-11-16,2021,11,16,936,United States,US-MI-161,Michigan,Washtenaw,Grizzly Nature Trail,42.2387409,-83.6376983,"",,Unspecified,"","",,,,,,,S97663247,"",,,,,Buteo jamaicensis,rethaw,Species,8094,,3.00,1,,1959,2612
388563791,Photo,Red-tailed Hawk (abieticola),Buteo jamaicensis abieticola,,Amy Andersen,2021-11-16,2021,11,16,1220,Canada,CA-ON-MI,Ontario,Middlesex,London--Northdale Woods,43.0428846,-81.2534931,"",,Unspecified,"","",,,,,,,S97672171,"",,,,,Buteo jamaicensis,rethaw4,Form,8099,,.00,0,,2510,2672
388563761,Photo,Red-tailed Hawk (abieticola),Buteo jamaicensis abieticola,,Amy Andersen,2021-11-16,2021,11,16,1220,Canada,CA-ON-MI,Ontario,Middlesex,London--Northdale Woods,43.0428846,-81.2534931,"",,Unspecified,"","",,,,,,,S97672171,"",,,,,Buteo jamaicensis,rethaw4,Form,8099,,.00,0,,2318,2255
388563751,Photo,Red-tailed Hawk (abieticola),Buteo jamaicensis abieticola,,Amy Andersen,2021-11-16,2021,11,16,1220,Canada,CA-ON-MI,Ontario,Middlesex,London--Northdale Woods,43.0428846,-81.2534931,"",,Unspecified,"","",,,,,,,S97672171,"",,,,,Buteo jamaicensis,rethaw4,Form,8099,,3.00,2,,2263,2208
